cod_areacarga;dat_referencia;din_referenciautc;val_cargaglobalcons;val_cargaglobal;val_consistencia
RR;2020-11-26;2020-11-26T16:30:00Z;131,2115;131,2115;0
RR;2020-11-26;2020-11-26T17:00:00Z;132,3536;132,3536;0
RR;2020-11-26;2020-11-26T17:30:00Z;132,3536;132,3536;0
RR;2020-11-26;2020-11-26T18:00:00Z;151,3726;151,3726;0
RR;2020-11-26;2020-11-26T18:30:00Z;162,2639;162,2639;0
RR;2020-11-26;2020-11-26T19:00:00Z;165,0354;165,0354;0
RR;2020-11-26;2020-11-26T19:30:00Z;163,6217;163,6217;0
RR;2020-11-26;2020-11-26T20:00:00Z;152,3345;152,3345;0
RR;2020-11-26;2020-11-26T20:30:00Z;151,6872;151,6872;0
RR;2020-11-26;2020-11-26T21:00:00Z;146,462;146,462;0
RR;2020-11-26;2020-11-26T21:30:00Z;135,4844;135,4844;0
RR;2020-11-26;2020-11-26T22:00:00Z;132,8063;132,8063;0
RR;2020-11-26;2020-11-26T22:30:00Z;140,6333;140,6333;0
RR;2020-11-26;2020-11-26T23:00:00Z;144,904;144,904;0
RR;2020-11-26;2020-11-26T23:30:00Z;148,1508;148,1508;0
RR;2020-11-26;2020-11-27T00:00:00Z;148,0184;148,0184;0
RR;2020-11-26;2020-11-27T00:30:00Z;149,6306;149,6306;0
RR;2020-11-26;2020-11-27T01:00:00Z;151,9641;151,9641;0
RR;2020-11-26;2020-11-27T01:30:00Z;152,3724;152,3724;0
RR;2020-11-26;2020-11-27T02:00:00Z;156,6308;156,6308;0
RR;2020-11-26;2020-11-27T02:30:00Z;162,2087;162,2087;0
RR;2020-11-26;2020-11-27T03:00:00Z;160,7889;160,7889;0
RR;2020-11-27;2020-11-27T03:30:00Z;163,126;163,126;0
RR;2020-11-27;2020-11-27T04:00:00Z;162,1291;162,1291;0
RR;2020-11-27;2020-11-27T04:30:00Z;159,5477;159,5477;0
RR;2020-11-27;2020-11-27T05:00:00Z;156,372;156,372;0
RR;2020-11-27;2020-11-27T05:30:00Z;152,1988;152,1988;0
RR;2020-11-27;2020-11-27T06:00:00Z;148,347;148,347;0
RR;2020-11-27;2020-11-27T06:30:00Z;144,096;144,096;0
RR;2020-11-27;2020-11-27T07:00:00Z;140,2259;140,2259;0
RR;2020-11-27;2020-11-27T07:30:00Z;136,8861;136,8861;0
RR;2020-11-27;2020-11-27T08:00:00Z;135,6052;135,6052;0
RR;2020-11-27;2020-11-27T08:30:00Z;137,8697;137,8697;0
RR;2020-11-27;2020-11-27T09:00:00Z;135,355;135,355;0
RR;2020-11-27;2020-11-27T09:30:00Z;132,2214;132,2214;0
RR;2020-11-27;2020-11-27T10:00:00Z;121,8466;121,8466;0
RR;2020-11-27;2020-11-27T10:30:00Z;110,8591;110,8591;0
RR;2020-11-27;2020-11-27T11:00:00Z;107,0098;107,0098;0
RR;2020-11-27;2020-11-27T11:30:00Z;106,1904;106,1904;0
RR;2020-11-27;2020-11-27T12:00:00Z;110,1545;110,1545;0
RR;2020-11-27;2020-11-27T12:30:00Z;119,6137;119,6137;0
RR;2020-11-27;2020-11-27T13:00:00Z;122,5036;122,5036;0
RR;2020-11-27;2020-11-27T13:30:00Z;122,9678;122,9678;0
RR;2020-11-27;2020-11-27T14:00:00Z;127,3534;127,3534;0
RR;2020-11-27;2020-11-27T14:30:00Z;130,147;130,147;0
RR;2020-11-27;2020-11-27T15:00:00Z;132,1601;132,1601;0
RR;2020-11-27;2020-11-27T15:30:00Z;137,8422;137,8422;0
RR;2020-11-27;2020-11-27T16:00:00Z;138,8847;138,8847;0
RR;2020-11-27;2020-11-27T16:30:00Z;138,3645;138,3645;0
RR;2020-11-27;2020-11-27T17:00:00Z;143,99;143,99;0
RR;2020-11-27;2020-11-27T17:30:00Z;151,3243;151,3243;0
RR;2020-11-27;2020-11-27T18:00:00Z;152,5915;152,5915;0
RR;2020-11-27;2020-11-27T18:30:00Z;158,4195;158,4195;0
